Duration,
2020.07,
2027.53,
2028.46,
2024.56,
2027.11,
2035.28,
2028.14,
2037.37,
2040.93,
2040.46,
2040.62,
2020.31,
2038.18,
2025.6,
2037.66,
2032.26,
2025.35,
2027.16,
2011.38,
2011.63,
2029.96,
2040.06,
2019.32,
2031.99,
2033.26,
2039.23,
2038.83,
2008.06,
2025.42,
2043.46,
2031.47,
2039.74,
2041.73,
2025.91,
2022.07,
2030.65,
2037.18,
2020.14,
2033.71,
2011.44,
2024.79,
2020.73,
2043.88,
2026.8,
2025.23,
2040.97,
2038.87,
2016.97,
2021.14,
2041.67,
2036.01,
2044,
2024.19,
2008.68,
2033.19,
2030.93,
2027.32,
2050.49,
2025.42,
2051.15,
2025.36,
2017.23,
2032.22,
2041.9,
2011.82,
2034.44,
2017.55,
2026,
2031.62,
2028.29,
2033.68,
2038.48,
2013.83,
2008.08,
2034.75,
2011.9,
2034.99,
2025.83,
2020.27,
2037.23,
2017.27,
2025.68,
2024.73,
2026.92,
2024.24,
2042.06,
2026.3,
2016.94,
2034.35,
2042.29,
2030.41,
2028.01,
2027.33,
2035.35,
2025.77,
2033.66,
2033.75,
2044.6,
2015.74,
2043.83,
2042.36,
2016.48,
2040.59,
2039.86,
2044.09,
2017.38,
2044,
2034.92,
2017.38,
2038.11,
2014.85,
2034.29,
2032.56,
2045.02,
2025.86,
2032.26,
2029.28,
2040.12,
2025.93,
2032,
2031.39,
2027.52,
2045.06,
2049.38,
2011.07,
2031.11,
2021.37,
2035.49,
2032.75,
2034.83,
2024.74,
2024.74,
2026.81,
2052.57,
2020.34,
2027.34,
2037.95,
2038.85,
2023.55,
2026.2,
2027.96,
2034.08,
2044.21,
2038.62,
2029.8,
2035.21,
2024.52,
2043.5,
2013.35,
2039.24,
2021.07,
2009.36,
2012.61,
2034.71,
2041.66,
2019.57,
2007.4,
2030.09,
2025.55,
2038.85,
2016.73,
2028.8,
2034.33,
2042.01,
2026.11,
2035.13,
2053.07,
2035.98,
2017.08,
2016.13,
2009.16,
2042.76,
2029.32,
2013.12,
2026.4,
2039.36,
2037.24,
2041.2,
2026.72,
2029.41,
2043.61,
2031.87,
2036.64,
2020.64,
2041.45,
2027.75,
2033.77,
2043.72,
2040.79,
2034.75,
2043.18,
2028.17,
2017.23,
2020.85,
2021.35,
2038.82,
2027.52,
2027.78,
2040.34,
2055.16,
2042.7,
2031.52,
2027.04,
2031.45,
2044,
2037.47,
2035.08,
2038.96,
2024.75,
2038,
2026.09,
2036.74,
